agency_name,agency_slug
"DC Circulator (486)",district-of-columbia-dc-circulator-486
"DC Streetcar (487)",district-of-columbia-dc-streetcar-487
"WMATA Bus (1846)",district-of-columbia-washington-metropolitan-area-transit-authority-wmata-bus-1846
"WMATA Rail (1847)",district-of-columbia-washington-metropolitan-area-transit-authority-wmata-rail-1847
"MTA Commuter Bus (467)",maryland-maryland-transit-administration-commuter-bus-467
"MTA Light Rail (469)",maryland-maryland-transit-administration-light-rail-469
"MTA Local Bus (466)",maryland-maryland-transit-administration-local-bus-466
"MTA MARC Train (468)",maryland-maryland-transit-administration-marc-train-468
"MTA Metro SubwayLink (470)",maryland-maryland-transit-administration-metro-subway-metro-subwaylink-470
"Montgomery County Department of Transportation RideON (488)",maryland-montgomery-county-department-of-transportation-ride-on-488
"Prince George's County TheBus (477)",maryland-prince-george-s-county-the-bus-477
"RTA of Central Maryland (489)",maryland-regional-transportation-agency-of-central-maryland-rta-489
"Alexandria Transit Company - DASH (482)",virginia-alexandria-transit-company-dash-482
"Arlington Transit (485)",virginia-arlington-transit-485
"Fairfax Connector (483)",virginia-fairfax-connector-483
"Fairfax CUE Bus (484)",virginia-fairfax-cue-bus-cue-484
"Fredericksburg Regional Transit (1299)",virginia-fredericksburg-regional-transit-1299
"Loudoun County Transit (1053)",virginia-loudoun-county-transit-1053
"Potomac and Rappannock Transportation Company Omniride (1156)",virginia-potomac-and-rappahannock-transportation-commission-prtc-omniride-1156
"Virginia Railway Express (478)",virginia-virginia-railway-express-vre-478
